Date,Open,High,Low,Close,Volume
2020-08-24,390.77,410.98,387.61,407.92,66323.10099818
2020-08-25,407.92,409.15,370.05,383.01,112768.5870559993
2020-08-26,382.98,393.56,377.18,385.71,72133.2213166697
2020-08-27,385.91,396.85,371.6,383.16,61708.6985900394
2020-08-28,383.16,398.32,380.01,395.56,45662.05995505
2020-08-29,395.35,405.87,392.3,398.69,46314.21533918
2020-08-30,398.39,429.5,398.39,428.72,62032.5521807897
2020-08-31,429.14,439.0,417.77,433.98,61152.9828209121
2020-09-01,434.0,489.57,428.68,475.81,133948.1474276896
2020-09-02,475.76,481.0,422.0,439.81,171902.1011206601
2020-09-03,440.47,450.0,371.21,382.43,227417.3974271573
2020-09-04,382.22,400.79,360.9,385.82,139546.82868096
2020-09-05,385.61,394.8,311.04,335.38,279084.365269521
2020-09-06,334.88,359.9,316.6,352.51,123832.6068884379
2020-09-07,352.5,358.5,323.4,353.39,91139.52678844
2020-09-08,353.4,356.41,325.64,337.25,92707.9723369805
2020-09-09,337.24,359.0,330.77,351.29,67152.7232000095
2020-09-10,351.08,377.77,350.8,368.23,100388.1545800801
2020-09-11,367.98,375.29,355.64,373.88,59017.2783286094
2020-09-12,374.08,388.0,365.31,387.91,48281.88966854
2020-09-13,387.94,390.0,353.5,366.41,87789.5512513605
2020-09-14,366.51,384.15,356.15,377.14,75629.6169229902
2020-09-15,377.07,382.48,362.5,364.09,73932.6680959803
2020-09-16,363.9,373.78,355.11,364.99,70775.9418229692
2020-09-17,365.0,394.68,363.29,389.39,83100.6206866705
2020-09-18,389.27,392.39,375.66,384.45,45931.7888566296
2020-09-19,384.5,388.41,377.31,385.11,20264.5378151002
2020-09-20,384.92,385.0,365.12,371.0,40537.1841893398
2020-09-21,370.5,376.74,331.0,339.87,109265.8969326213
2020-09-22,339.9,346.9,335.33,344.18,52243.7877802299
2020-09-23,344.0,344.5,313.42,320.12,101885.5460195306
2020-09-24,320.18,353.4,317.0,349.22,85064.5333092704
2020-09-25,348.92,358.0,337.59,351.9,56495.4669521795
2020-09-26,351.9,356.17,346.25,354.17,20431.2192836404
2020-09-27,354.19,362.28,347.46,357.3,44496.2960335401
2020-09-28,357.38,369.08,351.52,353.85,52341.0107151698
2020-09-29,353.88,360.59,350.4,359.94,44365.2378033897
2020-09-30,359.96,361.23,351.34,359.69,37139.5583797
2020-10-01,359.7,371.32,345.3,353.0,60515.8465201405
2020-10-02,353.0,354.22,334.56,345.68,54209.3971573495
2020-10-03,345.68,351.09,344.01,346.18,16827.4151244202
2020-10-04,346.18,354.45,344.0,352.54,18281.1092237401
2020-10-05,352.55,355.99,348.83,353.77,18231.2916864002
2020-10-06,354.0,355.19,336.51,340.79,58491.1861952703
2020-10-07,340.77,342.98,333.01,341.8,131152.4045914613
2020-10-08,341.81,353.4,334.1,351.05,50146.3326423096
2020-10-09,351.05,368.42,347.5,365.6,49831.06907866
2020-10-10,365.6,379.0,365.15,371.12,38666.1026587994
2020-10-11,370.82,377.4,369.3,374.61,17295.0835357503
2020-10-12,374.6,395.81,365.3,387.0,56730.983802089
2020-10-13,386.99,387.86,374.1,381.48,36449.5248836398
2020-10-14,381.47,387.59,373.22,379.08,40672.3334386399
2020-10-15,379.12,382.15,370.24,377.79,36492.67874025
2020-10-16,377.78,379.85,360.74,365.39,46405.7945403897
2020-10-17,365.41,370.62,363.5,368.4,12237.8956615802
2020-10-18,368.41,378.47,367.8,378.45,17579.2262192103
2020-10-19,378.44,384.98,372.9,379.5,32999.0165193301
2020-10-20,379.51,381.0,365.43,368.81,34897.86192866
2020-10-21,368.81,402.23,368.19,391.51,82236.8294309304
