Date,BTC_Close,ETH_Close,SPX_Close,DJI_Close,Gold_Close,BTC_Close_Return,ETH_Close_Return,SPX_Close_Return,DJI_Close_Return,Gold_Close_Return
2022-12-28,16541.6,1189.29,3783.22,32875.71,1.0637166500091553,-0.009410531667385622,-0.01821383106679909,-0.01209346269904926,-0.01106681307105293,-0.0002871907082003092
2022-12-29,16628.8,1200.76,3849.28,33220.8,1.062925100326538,0.005257711747597054,0.009598199248066371,0.017310618960093664,0.010442098550679004,-0.0007444128462590291
2022-12-30,16599.9,1198.89,3839.5,33147.25,1.066075325012207,-0.001739460604052933,-0.0015585609389174057,-0.0025439680351095257,-0.0022164288421877287,0.0029593483845724387
2023-01-03,16669.3,1213.92,3824.14,33136.37,1.0677714347839355,0.004172033031383745,0.01245866389017394,-0.0040085443908070935,-0.0003282862371642101,0.0015897206499429202
2023-01-04,16848.9,1256.32,3852.97,33269.77,1.0546854734420776,0.010716668488954181,0.03433202005827674,0.007510674075384772,0.004017706177313389,-0.012331112219669755
2023-01-05,16824.9,1250.5,3808.1,32930.08,1.0606365203857422,-0.001425440791580596,-0.004643341330367729,-0.011713902384519219,-0.010262651090523189,0.0056266257915620664
2023-01-06,16951.1,1269.74,3895.08,33630.61,1.0522217750549316,0.0074727964991935176,0.015268683766611883,0.022583841176026537,0.021050138373422407,-0.007965313943903736
2023-01-09,17181.8,1320.55,3892.09,33517.65,1.0656323432922363,0.013517955583735574,0.03923616138134704,-0.0007679298504944067,-0.003364498396756578,0.01266446764454612
2023-01-10,17443.1,1335.28,3919.25,33704.1,1.073318362236023,0.01509347091869071,0.011092691204529367,0.0069540205524518915,0.005547325921521423,0.007186750031592487
2023-01-11,17943.0,1389.11,3969.61,33973.01,1.0738946199417114,0.028255911752185288,0.039522246613035786,0.012767544131228952,0.00794689416281089,0.0005367494741383354
2023-01-12,18854.8,1415.91,3983.17,34189.97,1.0766000747680664,0.04956745665755615,0.019109179628453994,0.0034101315868827887,0.006365940359270046,0.0025161245552818563
2023-01-13,19930.0,1451.11,3999.09,34302.61,1.0860239267349243,0.055458610836617545,0.024556346885473437,0.003988850553225138,0.0032891183701286744,0.00871525666027755
2023-01-17,21148.7,1565.79,3990.97,33910.85,1.083012938499451,0.05935230365744868,0.07606170814460726,-0.0020325261125498277,-0.011486422395907045,-0.0027763383995962564
2023-01-18,20680.0,1512.17,3928.86,33296.96,1.0793308019638062,-0.022411388241923545,-0.03484478366003336,-0.015685001660276407,-0.01826892064769675,-0.003405693577534443
2023-01-19,21084.2,1551.66,3898.85,33044.56,1.0797853469848633,0.01935689517380108,0.025779620296704484,-0.00766766960752083,-0.007609147870309724,0.00042104731419264534
2023-01-20,22682.1,1659.81,3972.61,33375.49,1.083388328552246,0.0730521223516848,0.0673778123900625,0.018741671559172488,0.009964844603085735,0.0033312026121230954
2023-01-23,22926.1,1626.48,4019.81,33629.56,1.086507797241211,0.010699932377487651,-0.020284967472498958,0.011811328415709267,0.007583643849659889,0.002875225962125885
2023-01-24,22633.8,1556.01,4016.95,33733.96,1.0874292850494385,-0.012831635302519793,-0.04429331804306312,-0.0007117296325210936,0.003099602977563341,0.0008477594599432104
2023-01-25,23056.5,1611.62,4016.22,33743.84,1.088814616203308,0.01850336111027729,0.0351150318145863,-0.00018174643434897735,0.00029283705368593997,0.0012731397801450267
2023-01-26,23010.6,1602.22,4060.43,33949.41,1.0922038555145264,-0.00199274602435217,-0.005849716728283637,0.010947717569977037,0.006073593214418126,0.0031079443693967086
2023-01-27,23077.5,1597.31,4070.56,33978.08,1.0894432067871094,0.0029031375555622313,-0.003069203198190266,0.002491702791684164,0.0008441354656983518,-0.0025307945071393893
2023-01-30,22835.1,1567.2,4017.77,33717.09,1.0871455669403076,-0.010559291012405046,-0.019030376710685536,-0.013053559781991077,-0.007710780344301666,-0.002111230865447573
2023-01-31,23134.9,1586.01,4076.6,34086.04,1.0850694179534912,0.013043474024702089,0.011930840714824337,0.014536285322318165,0.01088308582737075,-0.0019115507750811752
2023-02-01,23732.6,1641.6,4119.21,34092.96,1.0860947370529177,0.02550733050156903,0.03444994763129495,0.010398089735210484,0.00020299505782611882,0.0009444879359144774
2023-02-02,23489.6,1643.09,4179.76,34053.94,1.1012852191925049,-0.010291860392976984,0.000907239405971158,0.014592431217642185,-0.0011451732731584828,0.013889426300071808
2023-02-03,23437.0,1664.4,4136.48,33926.01,1.09051251411438,-0.0022417998333213607,0.012886082726364906,-0.010408643989373002,-0.0037637612566719836,-0.009830096693875398
2023-02-06,22766.3,1615.26,4111.08,33891.02,1.079086184501648,-0.02903459780807312,-0.029968763697569022,-0.006159416919169087,-0.001031894292769864,-0.010533224660065373
2023-02-07,23253.2,1672.4,4164.0,34156.69,1.0730764865875244,0.021161384609556952,0.03476378607119287,0.012790383040919152,0.0078083847301528295,-0.005584813467052059
2023-02-08,22964.8,1650.33,4117.86,33949.01,1.0729728937149048,-0.012480148136242541,-0.013284452585117464,-0.011142539811002886,-0.006098774220715202,-9.654286024440955e-05
2023-02-09,21792.0,1545.17,4081.5,33699.88,1.0715816020965576,-0.052419678867876886,-0.06584133125610349,-0.008869043032445952,-0.007365416528221529,-0.0012975112698280708
2023-02-10,21639.8,1514.17,4090.46,33869.27,1.0742292404174805,-0.007008718175707399,-0.02026650261046548,0.002192865258876484,0.005013837079543169,0.0024677288529569175
2023-02-13,21791.2,1506.35,4137.29,34245.93,1.0677714347839355,0.006972006782322375,-0.005177927953985993,0.011383550959928976,0.011059611929691739,-0.006029713504830647
2023-02-14,22213.1,1556.33,4136.13,34089.27,1.073041915893555,0.01917598635991049,0.03264097943754639,-0.0002804160812822511,-0.004585053514190713,0.004923821832562189
2023-02-15,24334.5,1675.76,4147.6,34128.05,1.0735719203948977,0.09121289160279894,0.07393630818322683,0.002769285655189374,0.0011369547844293161,0.000493805176462593
2023-02-16,23521.5,1638.0,4090.41,33696.85,1.0691757202148438,-0.03398020002936742,-0.022790808284496,-0.013884644172642286,-0.012715265621124133,-0.0041033356099456205
2023-02-17,24572.3,1694.19,4079.09,33826.69,1.0665756464004517,0.0437048957384875,0.03372876507616492,-0.0027712852059047503,0.003845774674360386,-0.0024348106615187685
2023-02-21,24442.1,1659.15,3997.34,33129.59,1.068261981010437,-0.005312736919884391,-0.020899327472806765,-0.020244784414123935,-0.020823295109090055,0.0015798250312521853
2023-02-22,24186.6,1643.39,3991.05,33045.09,1.065200924873352,-0.010508294530270378,-0.00954424148364279,-0.0015747857327715093,-0.0025538482672447732,-0.0028695678084155025
2023-02-23,23942.4,1650.54,4012.32,33153.91,1.0605803728103638,-0.010147815063756326,0.004341325547131318,0.005315273460274993,0.0032876659169265607,-0.004347163411922486
2023-02-24,23193.8,1607.87,3970.04,32816.92,1.0598047971725464,-0.03176594415402201,-0.026192185380289747,-0.010593457421727142,-0.010216422352541776,-0.0007315422531570732
2023-02-27,23494.4,1633.5,3982.24,32889.09,1.055475831031799,0.012877093302710191,0.015814630341553126,0.0030683048311681872,0.002196755792134682,-0.004093047633147317
2023-02-28,23133.2,1603.78,3970.15,32656.7,1.0611205101013184,-0.015493279741045227,-0.018361609128793182,-0.0030405976856194583,-0.00709095042546099,0.005333744882631879
2023-03-01,23634.9,1665.22,3951.39,32661.84,1.0577309131622314,0.021455618083643123,0.03759390390566346,-0.00473646161527038,0.00015738257501190242,-0.003199469102332789
2023-03-02,23466.5,1648.13,3981.35,33003.57,1.066894292831421,-0.007150561024982745,-0.010315934964571645,0.007553542016924832,0.01040831344987013,0.008625932198623705
2023-03-03,22356.1,1569.68,4045.64,33390.97,1.0599732398986816,-0.04847465772838509,-0.04876953494157728,0.016018800257414183,0.011669766714127353,-0.006508235473883866
2023-03-06,22409.4,1566.0,4048.42,33431.44,1.0626201629638672,0.0023812992231451923,-0.002347179361097787,0.0006869235239955045,0.0012112704390054919,0.00249404754925224
2023-03-07,22196.9,1561.47,3986.37,32856.46,1.0688328742980957,-0.009527874204626634,-0.0028969123080430526,-0.015445639173959797,-0.017348397543338997,0.005829571489454962
2023-03-08,21699.1,1532.26,3992.01,32798.4,1.05507493019104,-0.02268185445613334,-0.01888391554802209,0.0014138210863556078,-0.0017686433307384176,-0.01295549318169404
2023-03-09,20363.6,1438.15,3918.32,32254.86,1.0549525022506714,-0.06352179169114947,-0.06338620430995112,-0.018631872945282475,-0.01671100415004034,-0.00011604393253258556
